ID	CPN	TN	ICD	CIPD	DF	stCPN	stTN	stICD	stCIPD	stDF
LG_TA33_L	5.2	1	137.86	23.68	4.13	-0.808961	-1.452461	-0.577467	-0.020713	0.7389839
LG_TA33_R	5.2	1	137.86	23.68	4.13	-0.808961	-1.452461	-0.577467	-0.020713	0.7389839
LG_TA34_L	6	1	117.68	19.9	4.13	-0.177838	-1.452461	-0.776119	-0.540754	0.7389839
LG_TA34_R	6	1	117.68	19.9	4.13	-0.177838	-1.452461	-0.776119	-0.540754	0.7389839
LG_TA35_L	7	3	178.72	19.86	4.31	0.6110649	0.3521681	-0.175242	-0.546257	1.4535772
LG_TA35_R	7	3	178.72	19.86	4.31	0.6110649	0.3521681	-0.175242	-0.546257	1.4535772
LG_WA01_L	5.6	2.4	144.52	24.3	4.13	-0.4934	-0.189221	-0.511906	0.0645848	0.7389839
LG_WA01_R	5.6	2.4	144.52	24.3	4.13	-0.4934	-0.189221	-0.511906	0.0645848	0.7389839
LG_WA02_L	7	1	82.52	16.96	4.31	0.6110649	-1.452461	-1.122234	-0.945231	1.4535772
LG_WA02_R	7	1	82.52	16.96	4.31	0.6110649	-1.452461	-1.122234	-0.945231	1.4535772
LG_WA03_L	5.6	2.6	133.8	22.84	4.13	-0.4934	-0.008758	-0.617434	-0.136278	0.7389839
LG_WA03_R	5.6	2.6	133.8	22.84	4.13	-0.4934	-0.008758	-0.617434	-0.136278	0.7389839
LG_WA04_L	6	3	155.66	18.92	4.13	-0.177838	0.3521681	-0.402244	-0.67558	0.7389839
LG_WA05_L	5	1.2	173.04	16.96	4.31	-0.966742	-1.271998	-0.231156	-0.945231	1.4535772
LG_WA05_R	5	1.2	173.04	16.96	4.31	-0.966742	-1.271998	-0.231156	-0.945231	1.4535772
LG_WA06_L	5.8	3	125.7	21.66	3.96	-0.335619	0.3521681	-0.69717	-0.298619	0.0640902
LG_WA06_R	5.8	3	125.7	21.66	3.96	-0.335619	0.3521681	-0.69717	-0.298619	0.0640902
LG_WA07_L	6.4	3.4	189.84	16.9	3.89	0.1377229	0.7130939	-0.065777	-0.953485	-0.213807
LG_WA07_R	6.4	3.4	189.84	16.9	3.89	0.1377229	0.7130939	-0.065777	-0.953485	-0.213807
LG_WA08_L	4.8	1.4	100.78	19.96	4.31	-1.124522	-1.091535	-0.942482	-0.5325	1.4535772
LG_WA08_R	4.8	1.4	100.78	19.96	4.31	-1.124522	-1.091535	-0.942482	-0.5325	1.4535772
LG_WA09_L	6.4	1.2	124.76	16.54	4.13	0.1377229	-1.271998	-0.706424	-1.003013	0.7389839
LG_WA09_R	6.4	1.2	124.76	16.54	4.13	0.1377229	-1.271998	-0.706424	-1.003013	0.7389839
LG_WA10_L	5	1	95.22	19.84	4.31	-0.966742	-1.452461	-0.997215	-0.549009	1.4535772
LG_WA10_R	5	1	95.22	19.84	4.31	-0.966742	-1.452461	-0.997215	-0.549009	1.4535772
LG_WA11_L	7	1.4	113.24	20.14	4.13	0.6110649	-1.091535	-0.819826	-0.507736	0.7389839
LG_WA11_R	7	1.4	113.24	20.14	4.13	0.6110649	-1.091535	-0.819826	-0.507736	0.7389839
LG_WA12_L	6	5.6	75.7	21.14	4.31	-0.177838	2.6981861	-1.18937	-0.370159	1.4535772
LG_WA12_R	6	5.6	75.7	21.14	4.31	-0.177838	2.6981861	-1.18937	-0.370159	1.4535772
LG_WA13_L	6	1	111.96	18.28	4.48	-0.177838	-1.452461	-0.832427	-0.763629	2.1284709
LG_WA13_R	6	1	111.96	18.28	4.48	-0.177838	-1.452461	-0.832427	-0.763629	2.1284709
LG_WA14_R	5	2.2	85.78	16.34	4.06	-0.966742	-0.369684	-1.090142	-1.030529	0.4610865
LG_WA15_L	5.8	4.6	124.7	15.6	4.31	-0.335619	1.7958715	-0.707014	-1.132336	1.4535772
LG_WA15_R	5.8	4.6	124.7	15.6	4.31	-0.335619	1.7958715	-0.707014	-1.132336	1.4535772
LG_WA17_L	4	1.8	104.58	14.88	4.13	-1.755645	-0.730609	-0.905075	-1.231391	0.7389839
LG_WA17_R	4	1.8	104.58	14.88	4.13	-1.755645	-0.730609	-0.905075	-1.231391	0.7389839
LG_WA18_R	4.8	4.6	145.84	20.22	4.13	-1.124522	1.7958715	-0.498912	-0.49673	0.7389839
LG_WA19_L	6	4.4	164.8	16.2	4.13	-0.177838	1.6154085	-0.31227	-1.049789	0.7389839
LG_WA19_R	6	4.4	164.8	16.2	4.13	-0.177838	1.6154085	-0.31227	-1.049789	0.7389839
LG_WA20_L	4.8	2.4	120.42	25.72	4.13	-1.124522	-0.189221	-0.749146	0.2599442	0.7389839
LG_WA20_R	4.8	2.4	120.42	25.72	4.13	-1.124522	-0.189221	-0.749146	0.2599442	0.7389839
LG_WA21_L	6.2	3.2	142.22	21.24	3.96	-0.020058	0.532631	-0.534547	-0.356401	0.0640902
LG_WA21_R	6.2	3.2	142.22	21.24	3.96	-0.020058	0.532631	-0.534547	-0.356401	0.0640902
LG_WA22_L	5.8	2.2	142.44	19.2	3.96	-0.335619	-0.369684	-0.532382	-0.637058	0.0640902
LG_WA22_R	5.8	2.2	142.44	19.2	3.96	-0.335619	-0.369684	-0.532382	-0.637058	0.0640902
LG_WA23_L	5	3	153.42	16.58	4.13	-0.966742	0.3521681	-0.424295	-0.99751	0.7389839
LG_WA23_R	5	3	153.42	16.58	4.13	-0.966742	0.3521681	-0.424295	-0.99751	0.7389839
LG_WA24_L	5	1.8	113.66	16.6	4.13	-0.966742	-0.730609	-0.815692	-0.994758	0.7389839
LG_WA24_R	5	1.8	113.66	16.6	4.13	-0.966742	-0.730609	-0.815692	-0.994758	0.7389839
