ID	CPN	TN	ICD	CIPD	DF	stCPN	stTN	stICD	stCIPD	stDF
FG_KL29_L	5.83	2.33	165.1	35.91	3.96	-0.311952	-0.252383	-0.309317	1.6618543	0.0640902
FG_KL37_L	8.33	3.33	200.7	29.64	3.96	1.6603063	0.6499319	0.0411292	0.7992462	0.0640902
FG_KL38_L	7.33	1.83	368.65	34.92	3.96	0.871403	-0.70354	1.6944277	1.525653	0.0640902
FG_KL38_R	7.33	1.83	368.65	34.92	3.96	0.871403	-0.70354	1.6944277	1.525653	0.0640902
FG_KL39_R	7.33	3.33	233.42	33.61	3.79	0.871403	0.6499319	0.3632246	1.3454271	-0.610803
FG_KL41_L	9.5	2.83	330.7	25.63	3.62	2.5833232	0.1987746	1.3208482	0.2475623	-1.285697
FG_KL41_R	9.5	2.83	330.7	25.63	3.62	2.5833232	0.1987746	1.3208482	0.2475623	-1.285697
FG_KL45_L	7	1.5	320.52	43.05	3.96	0.6110649	-1.001304	1.2206363	2.6441544	0.0640902
FG_KL45_R	7	1.5	320.52	43.05	3.96	0.6110649	-1.001304	1.2206363	2.6441544	0.0640902
FG_KL46_L	7.33	4.83	248.13	41.29	3.79	0.871403	2.0034038	0.5080298	2.4020188	-0.610803
FG_KL46_R	7.33	4.83	248.13	41.29	3.79	0.871403	2.0034038	0.5080298	2.4020188	-0.610803
FG_KL48_L	6.5	3.83	193	32.17	3.62	0.2166133	1.1010892	-0.03467	1.1473161	-1.285697
FG_KL50_L	6.33	1.67	267.25	33.07	3.96	0.0824997	-0.84791	0.6962469	1.2711355	0.0640902
FG_KL50_R	6.33	1.67	267.25	33.07	3.96	0.0824997	-0.84791	0.6962469	1.2711355	0.0640902
FG_SA02_L	5.5	1.5	195.35	26.32	3.79	-0.57229	-1.001304	-0.011536	0.3424904	-0.610803
FG_SA02_R	5.5	1.5	195.35	26.32	3.79	-0.57229	-1.001304	-0.011536	0.3424904	-0.610803
FG_SA03_L	5.83	3.67	369.12	34	3.45	-0.311952	0.9567189	1.6990544	1.3990821	-1.960591
FG_SA03_R	5.83	3.67	369.12	34	3.45	-0.311952	0.9567189	1.6990544	1.3990821	-1.960591
FG_SA06_L	5.67	1.33	268.85	35.14	3.45	-0.438177	-1.154697	0.7119973	1.55592	-1.960591
FG_SA06_R	5.67	1.33	268.85	35.14	3.45	-0.438177	-1.154697	0.7119973	1.55592	-1.960591
FG_SA07_L	5.83	1	217.47	29.03	3.62	-0.311952	-1.452461	0.206213	0.7153242	-1.285697
FG_SA07_R	5.83	1	217.47	29.03	3.62	-0.311952	-1.452461	0.206213	0.7153242	-1.285697
FG_SA10_L	6.17	1	266.25	26.7	4.13	-0.043725	-1.452461	0.6864029	0.3947697	0.7389839
FG_SA13_L	7	1.83	265.92	29.5	3.45	0.6110649	-0.70354	0.6831544	0.7799854	-1.960591
FG_SA13_R	7	1.83	265.92	29.5	3.45	0.6110649	-0.70354	0.6831544	0.7799854	-1.960591
FG_SA14_L	6.5	2.67	287.4	28.18	3.62	0.2166133	0.0544043	0.8946033	0.5983837	-1.285697
FG_SA17_L	6.83	3.83	355.6	32.05	3.45	0.4769514	1.1010892	1.5659636	1.1308069	-1.960591
FG_SA17_R	6.83	3.83	355.6	32.05	3.45	0.4769514	1.1010892	1.5659636	1.1308069	-1.960591
FG_SA19_L	6.83	4	351.6	31.93	3.79	0.4769514	1.2544827	1.5265876	1.1142976	-0.610803
FG_SA25_L	5.33	2	331.58	33.86	3.45	-0.706404	-0.550147	1.3295109	1.3798213	-1.960591
FG_SA28_L	8	3.5	342.78	29.51	3.62	1.3999683	0.8033254	1.4397636	0.7813612	-1.285697
FG_SA28_R	8	3.5	342.78	29.51	3.62	1.3999683	0.8033254	1.4397636	0.7813612	-1.285697
FG_SA29_L	9	2	639.83	29.6	3.96	2.1888716	-0.550147	4.3639214	0.7937431	0.0640902
FG_SA29_R	9	2	639.83	29.6	3.96	2.1888716	-0.550147	4.3639214	0.7937431	0.0640902
FG_SA30_L	6.83	3	278.07	31.67	3.96	0.4769514	0.3521681	0.8027589	1.0785276	0.0640902
FG_SA30_R	6.83	3	278.07	31.67	3.96	0.4769514	0.3521681	0.8027589	1.0785276	0.0640902
FG_SA32_L	6.67	3	322.13	29.53	3.27	0.3507268	0.3521681	1.2364852	0.7841127	-2.675184
FG_SA33_L	6.5	2.33	238.43	29.98	3.27	0.2166133	-0.252383	0.412543	0.8460224	-2.675184
FG_SA33_R	6.5	2.33	238.43	29.98	3.27	0.2166133	-0.252383	0.412543	0.8460224	-2.675184
FG_SA34_L	5.67	1.83	432.48	26.69	3.79	-0.438177	-0.70354	2.3227697	0.3933939	-0.610803
FG_SA34_R	5.67	1.83	432.48	26.69	3.79	-0.438177	-0.70354	2.3227697	0.3933939	-0.610803
FG_SA35_L	6	1	184.18	27.69	3.79	-0.177838	-1.452461	-0.121494	0.530971	-0.610803
FG_SA37_L	11	1.83	579.2	24.85	3.45	3.7666782	-0.70354	3.7670802	0.1402522	-1.960591
FG_SA37_R	11	1.83	579.2	24.85	3.45	3.7666782	-0.70354	3.7670802	0.1402522	-1.960591
FG_SA41_L	7.33	1.67	211.5	30.15	3.79	0.871403	-0.84791	0.1474443	0.8694105	-0.610803
FG_SA41_R	7.33	1.67	211.5	30.15	3.79	0.871403	-0.84791	0.1474443	0.8694105	-0.610803
FG_SA42_L	6.17	2	240.33	23.98	3.79	-0.043725	-0.550147	0.4312466	0.0205601	-0.610803
FG_SA42_R	6.17	2	240.33	23.98	3.79	-0.043725	-0.550147	0.4312466	0.0205601	-0.610803
FG_SA43_L	5.83	2.67	221.25	21	3.62	-0.311952	0.0544043	0.2434233	-0.389419	-1.285697
FG_SA43_R	5.83	2.67	221.25	21	3.62	-0.311952	0.0544043	0.2434233	-0.389419	-1.285697
FG_SA47_L	8.33	4.17	209.22	26.62	3.62	1.6603063	1.4078762	0.125	0.3837635	-1.285697
FG_SA47_R	8.33	4.17	209.22	26.62	3.62	1.6603063	1.4078762	0.125	0.3837635	-1.285697
FG_SA48_L	6.67	3.83	209.6	30.86	3.79	0.3507268	1.1010892	0.1287408	0.9670902	-0.610803
FG_SA48_R	6.67	3.83	209.6	30.86	3.79	0.3507268	1.1010892	0.1287408	0.9670902	-0.610803
FG_SA50_L	7.33	3	421.73	26.96	3.45	0.871403	0.3521681	2.2169468	0.4305397	-1.960591
FG_SL02_L	9.67	3.17	992.9	39.3	3.62	2.7174368	0.5055616	7.8395397	2.1282405	-1.285697
FG_SL02_R	9.67	3.17	992.9	39.3	3.62	2.7174368	0.5055616	7.8395397	2.1282405	-1.285697
FG_SL03_L	4.67	1.5	142.9	22.98	4.13	-1.22708	-1.001304	-0.527854	-0.117017	0.7389839
FG_SL03_R	4.67	1.5	142.9	22.98	4.13	-1.22708	-1.001304	-0.527854	-0.117017	0.7389839
FG_SL04_L	8.17	3.5	428.84	21.16	3.79	1.5340818	0.8033254	2.2869376	-0.367407	-0.610803
FG_SL05_L	5.67	2.33	140.82	24.45	4.13	-0.438177	-0.252383	-0.548329	0.0852213	0.7389839
FG_SL06_L	5	3.5	219.77	30.02	3.79	-0.966742	0.8033254	0.2288542	0.8515255	-0.610803
FG_SL06_R	5	3.5	219.77	30.02	3.79	-0.966742	0.8033254	0.2288542	0.8515255	-0.610803
FG_SL07_L	5.33	1.33	115.62	26.96	4.13	-0.706404	-1.154697	-0.796398	0.4305397	0.7389839
FG_SL07_R	5.33	1.33	115.62	26.96	4.13	-0.706404	-1.154697	-0.796398	0.4305397	0.7389839
FG_SL08_L	5.5	3.5	129.12	19.85	3.96	-0.57229	0.8033254	-0.663504	-0.547633	0.0640902
FG_SL08_R	5.5	3.5	129.12	19.85	3.96	-0.57229	0.8033254	-0.663504	-0.547633	0.0640902
FG_SL09_R	6.5	4.67	114.97	22.05	4.13	0.2166133	1.8590335	-0.802796	-0.244964	0.7389839
FG_SL11_L	6.17	4.17	152.78	17.81	4.13	-0.043725	1.4078762	-0.430595	-0.82829	0.7389839
FG_SL11_R	6.17	4.17	152.78	17.81	4.13	-0.043725	1.4078762	-0.430595	-0.82829	0.7389839
FG_SL12_L	6.17	5.17	123.72	21.37	4.31	-0.043725	2.3101908	-0.716661	-0.338516	1.4535772
FG_SL12_R	6.17	5.17	123.72	21.37	4.31	-0.043725	2.3101908	-0.716661	-0.338516	1.4535772
FG_SL13_L	6	4.67	182.13	21.05	4.13	-0.177838	1.8590335	-0.141674	-0.382541	0.7389839
FG_SL13_R	6	4.67	182.13	21.05	4.13	-0.177838	1.8590335	-0.141674	-0.382541	0.7389839
FG_SL14_L	5.33	3.17	131.13	25.53	3.79	-0.706404	0.5055616	-0.643717	0.2338045	-0.610803
FG_SL18_L	5.67	2.83	155.7	24.52	4.31	-0.438177	0.1987746	-0.40185	0.0948517	1.4535772
FG_SL18_R	5.67	2.83	155.7	24.52	4.31	-0.438177	0.1987746	-0.40185	0.0948517	1.4535772
FG_SL22_L	6.33	4.5	125.9	21.74	3.9	0.0824997	1.70564	-0.695201	-0.287612	-0.174108
FG_SL22_R	6.33	4.5	125.9	21.74	3.9	0.0824997	1.70564	-0.695201	-0.287612	-0.174108
FG_SL23_R	4.83	5.83	171.52	26.7	3.96	-1.100855	2.9057184	-0.246118	0.3947697	0.0640902
FG_SL24_L	6.83	3.5	214.28	25.21	3.79	0.4769514	0.8033254	0.1748106	0.1897799	-0.610803
FG_SL24_R	6.83	3.5	214.28	25.21	3.79	0.4769514	0.8033254	0.1748106	0.1897799	-0.610803
FG_SL25_L	6.33	3	141.57	31.33	3.96	0.0824997	0.3521681	-0.540946	1.0317514	0.0640902
