ID	RawCoord1	RawCoord2	RawCoord3	RawCoord4	RawCoord5	RawCoord6	RawCoord7	RawCoord8	RawCoord9	RawCoord10	RawCoord11	RawCoord12	RawCoord13	RawCoord14	RawCoord15	RawCoord16	RawCoord17	RawCoord18	RawCoord19	RawCoord20	RawCoord21	RawCoord22	RawCoord23	RawCoord24	RawCoord25	RawCoord26	RawCoord27	RawCoord28	RawCoord29	RawCoord30	RawCoord31	RawCoord32	RawCoord33	RawCoord34	RawCoord35	RawCoord36	RawCoord37	RawCoord38																										
FG_AC21_L	2.33319	11.48418	2.5453	6.66628	6.0451	4.40883	7.75713	4.34823	7.98439	5.04516	7.0905	5.25727	6.69658	5.86329	5.46938	7.96923	8.72677	9.13583	10.39334	8.24195	11.74175	9.77216	13.51437	8.83282	12.10536	6.72688	11.57509	5.96935	13.0144	6.86324	16.78691	8.86312	16.16573	9.93882	14.49916	11.30238	11.8781	12.09021																						
FG_AC21_R	13.72648	14.13555	14.78703	9.34794	12.09021	6.33296	10.34789	5.80269	9.86307	6.28751	10.6509	6.71173	10.72665	7.49956	11.42358	9.93882	8.07529	10.21153	6.51477	8.77222	4.8785	9.90852	3.49979	8.57526	5.33302	6.99959	6.06025	6.33296	4.46944	6.78748	0.59087	7.63592	0.80298	8.90857	1.93928	10.7115	4.40883	12.15081																						
FG_AC23_L	3.13618	13.31741	3.04527	8.10559	6.30266	5.93905	7.96923	5.75724	8.2268	6.42387	7.30261	6.81779	7.0602	7.39351	6.06025	9.36309	9.52975	10.42364	10.80241	9.25704	12.54473	10.75695	14.28705	9.63581	12.65078	7.87833	11.89325	7.1511	13.54467	7.89348	17.18083	9.37824	16.66571	10.52969	15.4082	11.98416	12.90835	13.02955																						
FG_AC23_R	16.21119	12.48413	17.51414	7.57532	14.55977	4.98456	12.96895	4.54519	12.52958	5.07546	13.34771	5.69664	13.45377	6.34812	14.25675	8.45406	10.42364	9.04493	9.46915	7.71167	7.71167	8.90857	6.0451	7.59047	7.95408	6.09055	8.71162	5.39362	6.75718	6.15116	3.45434	6.98444	3.7422	8.16619	4.71185	9.74186	7.10565	11.18117																						
FG_AC25_L	4.49974	13.40832	3.60585	8.39345	6.68143	5.81784	8.48436	5.40878	8.95403	6.0148	7.99954	6.51477	7.80258	7.19655	6.84809	9.4843	10.31758	10.30243	11.9084	9.01463	13.36286	10.49939	15.24154	9.15098	13.65073	7.30261	12.59018	6.42387	14.52946	7.37836	18.69589	8.81767	18.15047	9.75701	16.68086	11.55994	13.86284	12.78714																						
FG_AC25_R	16.33239	13.60527	17.51414	8.72677	13.1053	5.9542	11.40843	5.56028	11.02967	6.15116	11.86295	6.59053	12.01446	7.2723	13.1053	9.65096	9.6055	10.6812	7.96923	9.40855	6.60568	10.93876	4.8179	9.65096	6.52992	7.71167	7.2117	6.72688	5.49968	7.74197	1.74232	8.95403	2.07563	10.40849	3.5604	12.13566	6.31781	13.21136																						
FG_AC26_L	2.74226	12.22657	2.80286	7.04505	6.06025	4.9088	7.95408	4.727	8.09044	5.43908	7.25715	5.66634	6.92384	6.30266	5.78754	8.4389	9.31764	9.46915	10.93876	8.4086	12.27202	9.98427	14.07494	8.89342	12.57503	7.02989	11.83265	6.15116	13.72648	7.1814	16.68086	8.30255	16.5445	9.89337	15.01428	11.37813	12.54473	12.16596																						
FG_AC26_R	16.80206	10.04487	17.45354	5.01486	13.78708	2.34835	12.09021	2.15139	11.68114	2.71196	12.52958	3.09073	12.72654	3.81796	13.78708	6.06025	10.19638	6.96929	8.72677	5.80269	7.242	7.2723	5.56028	6.09055	7.10565	4.36338	7.90863	3.60585	5.90875	4.6967	3.03012	5.62088	3.15133	7.02989	4.48459	8.56011	6.90869	9.43885																										
FG_AC27_L	3.6816	12.15081	3.16648	6.56022	6.40872	4.10582	8.09044	3.93916	8.51466	4.6967	7.62077	4.8482	7.31776	5.62088	6.15116	7.90863	9.52975	8.89342	11.33268	7.72682	12.84774	9.19644	14.43856	8.16619	12.81744	6.16631	12.12051	5.30272	13.69618	6.21176	17.36263	7.2117	17.12022	8.89342	15.69606	10.37819	13.0447	11.57509																										
FG_AC27_R	14.98398	11.02967	16.07483	5.71179	12.81744	2.83317	11.19632	2.4847	10.6812	3.04527	11.55994	3.43919	11.68114	4.22703	12.68109	6.69658	8.89342	7.40866	7.48441	5.9845	5.81784	7.34806	4.46944	6.10571	6.34812	4.25733	6.98444	3.49979	5.36332	4.30278	1.53021	5.18152	1.80292	6.57538	3.09073	8.19649	5.33302	9.62066																										
FG_AC28_L	3.48464	11.9084	3.03012	6.95414	5.90875	4.37853	7.63592	4.01492	7.95408	4.65124	7.1208	5.07546	6.92384	5.66634	6.0754	7.86318	9.37824	8.54496	10.69635	7.16625	12.51443	8.77222	14.1204	7.43896	12.30232	5.80269	11.74175	4.98456	13.12045	5.66634	17.16568	6.95414	16.87781	8.06014	15.60516	9.65096	12.90835	10.95391																										
FG_AC28_R	14.46886	14.16585	15.3476	8.84797	12.16596	6.37842	10.52969	6.0148	10.10548	6.48447	10.90846	6.99959	10.99936	7.62077	11.8478	9.90852	8.30255	10.54484	7.16625	9.09038	5.51483	10.52969	3.96946	9.24189	5.71179	7.60562	6.31781	6.80263	4.95426	7.40866	1.12114	8.56011	1.45446	9.72671	2.4544	11.28723	5.07546	12.68109																										
FG_AC29_L	5.24212	11.74175	4.27248	6.98444	7.39351	4.59064	9.13583	4.24218	9.6055	4.9088	8.68131	5.19667	8.45406	5.77239	7.46926	8.09044	10.48424	8.75707	12.05991	7.68137	13.59012	9.04493	15.16579	7.87833	13.72648	6.27236	12.96895	5.43908	14.57492	6.36327	18.10502	7.71167	17.7414	8.83282	16.31724	10.31758	13.96889	11.27208																										
FG_AC29_R	14.93853	12.89319	15.75667	8.01469	12.63563	5.59058	10.96906	5.18152	10.48424	5.75724	11.28723	6.09055	11.46903	6.80263	12.45383	9.02978	9.4237	9.69641	7.89348	8.60556	6.27236	9.92367	4.86335	8.77222	6.22691	7.19655	6.98444	6.27236	5.43908	7.2117	2.28774	8.13589	2.4544	9.56005	3.7119	11.05997	5.9542	12.07506																										
FG_AC31_L	3.83311	12.54473	3.13618	7.02989	6.65113	4.7573	8.54496	4.56034	8.86312	5.30272	7.93893	5.54513	7.60562	6.22691	6.37842	8.54496	9.84791	9.63581	11.28723	8.30255	12.99925	10.01457	14.59007	8.84797	12.90835	6.90869	12.42352	6.02995	13.86284	6.89354	17.81715	8.45406	17.42324	9.68126	15.86272	11.37813	13.27196	12.43868																										
FG_AC31_R	15.09004	12.07506	16.24149	6.83294	12.9235	4.06037	11.18117	3.621	10.87816	4.18157	11.55994	4.65124	11.74175	5.36332	12.65078	7.84803	9.18129	8.62071	7.80258	7.16625	6.13601	8.52981	4.65124	7.19655	6.39357	5.51483	7.0602	4.727	5.46938	5.51483	2.03018	6.16631	1.90898	7.80258	3.21193	9.5449	5.62088	10.84786																										
FG_AC33_L	4.65124	13.12045	3.40889	7.96923	6.27236	5.30272	7.95408	4.8179	8.2874	5.42393	7.54502	5.84814	7.34806	6.52992	6.56022	8.86312	9.80246	9.454	11.33268	8.02984	13.19621	9.40855	14.62037	7.99954	12.90835	6.31781	12.12051	5.60573	13.77193	6.31781	17.66565	6.80263	17.7414	8.3177	16.34754	10.22668	14.05979	11.63569																										
FG_AC33_R	15.39305	12.36292	15.36275	6.95414	11.80235	5.15121	10.01457	5.10576	9.89337	5.72694	10.63575	5.93905	10.93876	6.63598	12.19626	8.59041	9.13583	10.10548	7.51472	9.04493	6.12086	10.81756	4.42398	9.96912	5.66634	7.75713	6.16631	6.86324	4.77245	8.01469	1.3787	9.31764	1.72717	11.04482	3.46949	12.48413	5.9542	13.22651																										
FG_AC34_L	3.83311	13.05985	3.27253	7.60562	6.39357	5.13606	8.09044	4.86335	8.54496	5.52998	7.68137	5.83299	7.42381	6.49962	6.42387	8.71162	9.92367	9.49945	11.40843	8.19649	13.0447	9.72671	14.93853	8.57526	13.0447	6.71173	12.27202	5.9239	14.13555	6.95414	17.8323	7.84803	17.66565	9.28734	16.28694	10.7721	13.28711	12.02961																										
FG_AC34_R	15.65061	12.46898	16.90812	7.01474	14.10525	3.89371	12.40837	3.30284	12.16596	3.75736	12.75684	4.33308	12.80229	5.09061	13.40832	7.54502	9.75701	7.75713	8.62071	6.18146	6.69658	7.36321	5.15121	6.0148	7.34806	4.45428	8.2268	3.84826	6.31781	4.34823	2.31804	5.16637	2.49985	6.21176	3.49979	7.87833	5.90875	9.59035																										
